date,index_all_shortage,energy_shortage,food_shortage,industry_shortage,labor_shortage,index_can,index_deu,index_fra,index_gbr,index_jpn,index_usa
1903m9,42.023865,3.3176734,13.270694,18.247204,7.1882925,68.973755,44.126369,36.452251,37.624897,9.0508814,30.906
1903m10,45.038361,3.844738,8.7879725,28.560911,3.844738,102.76885,32.873489,30.173761,58.136269,44.951813,39.358139
1903m11,26.045712,4.8835707,8.1392851,8.6819038,4.3409519,50.764225,48.715069,35.771484,32.819759,26.645552,24.107517
1903m12,32.261112,4.6830645,14.049194,8.325448,5.2034049,73.019974,10.381103,22.868536,55.076469,51.103115,31.320791
1904m1,36.513,5.1426759,16.456564,10.285352,4.6284084,72.167747,30.779831,56.504089,50.545544,67.342247,36.114452
1904m2,38.749947,3.9889653,19.374973,10.257339,5.1286693,71.082672,56.844448,75.133598,73.242226,102.60378,35.117733
1904m3,44.636726,3.2661021,14.153109,20.140963,7.0765543,25.463099,32.580338,29.904684,53.50227,89.101898,32.76601
1904m4,25.878283,1.7252188,9.2011671,9.7762403,5.1756568,35.866951,28.682619,37.910973,34.782703,65.89151,18.131821
1904m5,19.100704,1.0914688,10.368954,2.1829376,5.4573441,0,16.331589,11.992289,16.504095,26.798536,15.642535
1904m6,22.003746,2.8209929,11.283972,5.6419859,2.2567945,0,22.512194,6.1990151,8.5312443,9.235076,12.128835
1904m7,34.37505,.5055154,22.748194,4.5496387,6.5717006,31.528692,20.170668,27.771233,42.041431,24.823565,34.050858
1904m8,32.155701,1.5814279,22.139992,3.1628559,5.2714262,41.096954,47.325638,40.543095,43.840069,69.028206,33.241196
1904m9,38.382912,1.6688223,18.357044,12.794304,5.5627408,52.041714,33.293995,61.119465,54.674217,45.526817,35.078197
1904m10,25.201019,3.1501274,7.350297,9.9754038,4.7251911,24.558941,31.423458,51.917061,39.694218,77.344215,21.068359
1904m11,31.086081,1.1730596,14.076715,12.317125,3.5191789,54.872261,23.403236,25.777502,13.303372,38.402416,24.377205
1904m12,46.708843,4.8319492,19.864681,17.180264,4.8319492,100.45525,48.20013,64.887833,52.76836,61.515755,33.855431
1905m1,40.011002,5.8839707,10.00275,20.005501,4.1187797,73.395935,41.086052,38.789349,35.5886,115.57402,36.260582
1905m2,24.464174,4.6283574,10.579103,7.9343266,1.3223878,0,0,14.529463,4.9989552,0,17.056784
1905m3,23.562971,0,7.6579657,12.370561,3.5344458,45.925255,17.628574,25.889328,31.175865,38.569012,16.884798
1905m4,33.096779,3.4238045,10.842049,9.7007799,9.1301451,44.487633,17.076735,68.966972,17.257113,46.702084,32.712486
1905m5,22.063614,1.6972011,9.6174726,4.5258694,6.2230706,26.46335,16.930084,12.431765,17.108913,37.040813,17.837358
1905m6,12.839143,.58359742,5.8359742,2.9179871,3.5015845,0,17.464672,12.824312,4.4122868,9.5526056,15.891422
1905m7,18.479187,1.6305164,7.609077,3.2610328,5.9785604,42.372635,10.843257,29.858273,28.764202,35.585445,16.357578
1905m8,38.466526,1.1149718,14.494634,13.937146,8.9197741,52.155087,66.733047,55.12735,50.578453,63.876396,32.75771
1905m9,30.991302,2.9799328,12.515718,9.5357847,5.9598656,46.464149,29.725716,45.837955,54.071461,68.287781,28.186829
1905m10,53.870892,4.8483806,16.161268,26.396738,6.4645071,142.79553,80.606728,53.27058,69.239433,52.907093,49.411716
1905m11,51.468185,7.6906486,13.014944,27.213064,3.54953,110.69102,59.012695,51.999641,76.035942,9.6834049,42.392147
1905m12,30.770607,1.0989503,5.4947515,20.880054,3.2968507,42.838036,49.330601,30.18622,24.925833,26.982225,26.774584
1906m1,42.534393,6.0763421,11.047894,17.124237,8.2859201,94.744431,16.530905,42.48526,33.41103,27.125593,33.250225
1906m2,27.672863,3.4591079,6.3416982,13.836432,4.0356259,35.957077,34.50563,25.33749,26.152578,18.873451,23.961094
1906m3,28.436295,4.9888234,8.9798822,7.4832354,6.9843531,23.336243,39.812,32.888203,18.858995,8.1659489,26.454264
1906m4,51.682583,8.6137629,13.997366,16.689167,12.382285,67.154396,53.703033,53.236099,40.702713,61.68499,48.608173
1906m5,49.52914,4.845242,11.843925,18.842607,13.997366,50.365799,53.703033,59.151218,32.562172,17.624283,45.521942
1906m6,44.793743,2.8713939,11.485576,20.099758,10.337018,26.863066,34.371609,44.168388,34.734669,28.200222,32.921421
1906m7,53.978096,3.1751821,12.700728,20.109486,17.992697,66.011398,47.510075,63.958874,44.010921,17.324306,37.162872
1906m8,90.094917,2.7979789,22.383831,34.135345,30.777767,130.88118,72.567741,61.484432,93.078102,36.638943,72.179314
1906m9,95.508873,5.7190943,13.725826,45.180843,30.883108,249.6875,68.459595,75.404839,60.534882,9.3612909,66.390823
1906m10,94.182083,3.1746771,14.815159,51.853058,24.339191,115.50157,79.170868,87.202774,96.00856,17.32155,72.039009
1906m11,108.1974,14.20774,19.125805,48.634186,26.229675,127.80694,76.314232,66.044258,57.840244,35.778336,71.267059
1906m12,190.72461,31.614677,22.285757,119.20288,17.621296,145.45979,129.24828,119.58286,82.286507,118.7669,158.21016
1907m1,159.11742,28.840031,17.403467,97.459419,15.414499,93.038033,74.402039,71.02346,101.50371,73.251869,127.5606
1907m2,60.803799,10.502475,5.5276179,35.376755,9.3969517,51.713127,27.569818,24.293425,50.149853,54.287239,31.687929
1907m3,55.767773,4.0805688,5.894155,34.458138,11.334912,49.486618,36.182117,44.834408,61.702263,44.528484,42.236446
1907m4,43.594391,2.9723449,7.9262528,22.787975,9.9078159,61.794449,19.766682,27.215021,33.708611,16.217594,32.658901
1907m5,43.554714,3.4256516,14.681364,20.064529,5.3831663,91.566772,48.816986,69.90033,48.099316,32.041557,37.172077
1907m6,36.381981,2.8722618,18.19099,8.1380749,7.1806545,29.856869,28.651663,47.337574,21.715729,15.671524,24.698528
1907m7,38.816273,4.3668303,14.070899,15.526509,4.8520341,52.958221,33.880337,63.972866,51.357311,79.420441,34.073418
1907m8,49.239849,10.039192,15.775873,13.38559,10.039192,29.816111,23.843792,21.010201,36.143475,39.125324,36.31208
1907m9,72.593582,12.26243,19.129391,25.505852,15.69591,114.72005,53.821404,59.281601,63.04285,80.286949,62.563686
1907m10,70.782913,9.3394127,17.695728,31.459074,12.2887,68.979492,44.130035,59.408607,18.581739,32.183586,50.721752
