DAY,N10D,GPRD,GPRD_ACT,GPRD_THREAT
19850512,647,74.681419,62.961723,94.055847
19850513,472,80.433975,73.976212,70.324501
19850514,536,115.9035,76.000443,154.81888
19850515,589,99.614479,98.802414,93.925201
19850516,671,87.441025,34.69128,131.91521
19850517,637,140.87137,137.036,147.64098
19850518,402,103.02533,115.81019,110.09341
19850519,695,94.353416,66.986618,127.35986
19850520,509,108.49033,114.33128,108.68751
19850521,505,129.85272,126.76057,142.41292
19850522,518,119.93104,134.8138,96.119202
19850523,626,115.78006,74.370125,150.23531
19850524,608,96.501526,86.143356,100.08904
19850525,397,86.935738,87.951569,83.609985
19850526,622,88.78067,74.848389,62.259418
19850527,413,108.63809,56.362835,107.16115
19850528,448,123.26246,155.87845,61.74324
19850529,579,77.491417,80.407082,95.547394
19850530,630,82.174973,64.66069,79.031349
19850531,625,99.398842,74.489113,123.92114
19850601,400,77.65535,72.743279,55.321941
19850602,649,90.405121,125.5354,51.145092
19850603,519,132.99995,123.3412,127.912
19850604,504,75.327057,80.825867,43.906307
19850605,534,103.41119,87.182953,93.239227
19850606,592,93.279694,88.471558,74.759384
19850607,599,109.47517,87.437668,157.00719
19850608,391,105.92374,133.95181,99.04184
19850609,650,63.717205,35.812077,68.088547
19850610,482,121.72807,108.66216,114.77582
19850611,519,106.39996,89.702698,106.59334
19850612,564,116.26883,103.18196,107.89741
19850613,678,127.26212,128.74916,81.595787
19850614,614,95.55851,85.301567,90.100883
19850615,383,126.15896,151.94418,129.99934
19850616,621,122.27,140.56671,97.993782
19850617,486,149.13235,227.50984,79.681808
19850618,533,291.38965,316.63116,280.24249
19850619,552,168.81596,210.85008,240.53018
19850620,625,226.40848,260.71191,230.13928
19850621,634,201.4194,247.83199,139.61374
19850622,411,167.94885,169.9113,201.90489
19850623,598,150.05864,204.36238,175.77206
19850624,494,223.56915,294.5072,156.78284
19850625,535,219.33806,261.05997,175.78935
19850626,595,191.41934,166.27036,195.25392
19850627,590,198.89128,187.40642,178.15541
19850628,629,213.9946,222.04625,219.88054
19850629,395,218.43979,279.92349,154.06111
19850630,642,177.40578,181.29167,180.95963
19850701,502,254.38228,312.99896,253.46707
19850702,523,244.16808,311.5582,296.17865
19850703,544,152.26538,246.04344,122.0337
19850704,483,185.78688,204.82581,160.35345
19850705,480,158.18681,169.73431,184.40648
19850706,357,116.01173,97.806091,139.46709
19850707,554,87.218201,52.522224,119.83092
19850708,451,122.44252,103.22771,122.66505
19850709,436,150.4028,173.51608,152.26222
19850710,514,188.01122,192.47247,161.44536
19850711,561,147.65128,197.09409,118.33571
19850712,608,170.29681,268.00156,136.48506
19850713,375,156.46114,155.18567,177.03023
19850714,646,96.16761,90.084557,94.201454
19850715,446,154.769,117.4331,99.232185
19850716,478,115.52631,121.74607,104.16265
19850717,521,112.61597,44.679173,116.80256
19850718,556,124.14924,104.66659,129.34987
19850719,503,116.64597,150.40359,120.98238
19850720,330,104.58633,123.44314,100.58534
19850721,546,82.174973,53.291782,101.32224
19850722,422,122.67828,165.48233,78.656784
19850723,395,148.53905,147.32816,168.06665
19850724,452,167.98601,167.37392,159.11179
19850725,530,78.143745,87.840942,93.942924
19850726,492,70.149361,70.969048,78.710083
19850727,357,135.34702,81.505074,139.46709
19850728,546,132.74419,127.90028,121.58669
19850729,441,109.56663,118.76453,112.90192
19850730,421,122.96967,96.760658,118.26543
19850731,440,101.97166,79.3563,125.73169
19850801,468,117.99483,136.78224,82.746498
19850802,503,82.338341,92.556053,153.97757
19850803,370,55.967819,78.64138,29.903753
19850804,628,54.957783,37.066639,79.283035
19850805,415,66.532021,84.136803,93.314117
19850806,367,112.85064,95.141075,120.59279
19850807,476,87.008789,48.903046,92.978058
19850808,533,64.753258,54.591579,83.034813
19850809,512,101.11373,136.39365,108.05067
19850810,386,62.589226,75.381638,28.664217
19850811,611,45.18951,47.62244,36.217312
19850812,454,106.42925,115.36378,85.298149
19850813,470,102.80614,123.81834,82.394386
19850814,498,103.95629,81.799675,88.870583
19850815,555,49.749172,52.427589,49.839588
19850816,536,51.512665,54.286026,41.28503
19850817,401,86.068542,87.074249,55.183983
19850818,624,66.372093,74.60849,70.925568
19850819,437,102.6717,66.584236,101.27586
19850820,466,88.875931,99.90493,83.101631
19850821,475,167.11794,196.02399,128.11397
19850822,551,106.48444,95.054733,110.44308
19850823,512,74.15007,79.562958,43.220268
19850824,385,71.716331,45.346458,71.84668
19850825,617,27.968788,28.295603,26.898838
19850826,483,57.165195,48.194305,57.269093
19850827,426,113.4246,109.28568,103.89097
19850828,505,88.846596,92.189507,87.638725
19850829,568,133.679,92.209785,126.61712
19850830,510,60.906155,45.642845,75.932076
19850831,368,56.271988,63.255028,30.066273
19850901,602,74.530785,38.667522,91.896912
19850902,361,76.484177,48.361179,91.947823
19850903,435,79.341347,120.40266,25.435375
19850904,485,71.161827,95.991135,45.626347
19850905,622,55.487919,74.848389,26.682608
19850906,580,83.308418,60.201332,123.99746
19850907,412,134.03296,127.12418,120.84891
19850908,515,67.016479,67.799561,53.710625
19850909,351,88.496124,132.63731,110.32866
19850910,413,125.35165,56.362835,160.74171
19850911,436,158.31874,80.084343,152.26222
19850912,449,76.867455,64.804703,86.248016
19850913,481,107.63042,72.592049,138.01732
19850914,303,125.29649,76.824585,146.06454
19850915,463,81.997482,75.4142,71.691505
19850916,417,99.319389,69.777725,66.33326
19850917,451,130.09518,167.74504,122.66505
19850918,419,131.79375,125.00038,92.423294
19850919,471,131.89868,160.6221,129.20198
19850920,476,108.76099,12.225761,139.46709
19850921,318,54.266491,73.200783,0
19850922,474,72.813263,61.386734,58.35648
19850923,402,120.19621,130.28647,110.09341
19850924,449,115.30118,103.68753,110.8903
19850925,466,125.90757,74.928696,118.71661
19850926,474,182.03316,171.88286,163.39815
