date,index_all_shortage,energy_shortage,food_shortage,industry_shortage,labor_shortage
01dec1967,56.378002,2.7170122,10.188796,13.245435,30.226761
01jan1968,90.437149,12.081299,13.462019,23.472239,41.421593
01feb1968,76.799034,5.9344711,12.218029,24.785143,33.861397
01mar1968,60.356304,3.1435573,11.631163,13.517297,32.064285
01apr1968,48.51445,3.6303329,13.861271,10.230939,20.791906
01may1968,47.147984,2.245142,8.3390989,11.867179,24.696562
01jun1968,34.701458,3.7059813,11.117944,6.4012399,13.476295
01jul1968,48.318562,3.2696772,10.898924,11.262221,22.887741
01aug1968,41.118858,3.1098294,7.9473424,15.894685,14.167002
01sep1968,39.39843,1.9864756,9.9323778,8.6080608,18.871517
01oct1968,35.265106,1.2708145,6.354073,8.2602949,19.379923
01nov1968,40.592739,2.2915254,10.475545,7.5292983,20.29637
01dec1968,44.709949,9.2049904,8.2187414,6.9037423,20.382477
01jan1969,52.009712,9.5460863,5.5959821,12.179489,24.688156
01feb1969,50.559135,3.2044523,11.749659,11.037558,24.567469
01mar1969,49.348972,2.5145974,9.429739,13.830285,23.574348
01apr1969,56.313316,2.2525325,16.08952,13.193406,24.777859
01may1969,36.424824,2.5339007,8.235178,5.0678015,20.587944
01jun1969,65.163292,4.5614305,16.61664,14.661741,29.323483
01jul1969,50.931618,4.5979934,14.501363,8.4886026,23.343657
01aug1969,66.962074,5.580173,18.833082,14.996714,27.552103
01sep1969,58.515297,7.5725679,7.5725679,13.079889,30.290272
01oct1969,53.047646,7.4396086,9.0569153,13.261911,23.289211
01nov1969,45.419796,4.0721197,9.0839596,6.8912797,25.372438
01dec1969,62.974312,7.7398596,10.906165,13.368848,30.959438
01jan1970,56.839012,9.2528629,10.244241,12.226996,25.114912
01feb1970,45.904762,5.3377628,5.6936135,12.810631,22.062752
01mar1970,42.947754,9.7181044,6.5832319,6.2697449,20.376671
01apr1970,68.337494,11.170551,16.427282,18.727102,22.012558
01may1970,40.235703,3.1681654,5.3858809,10.138129,21.543524
01jun1970,55.686844,7.1306324,10.526172,13.242603,24.787437
01jul1970,73.596489,21.131664,15.666579,14.573562,22.224682
01aug1970,82.695679,31.140631,14.878302,12.456253,24.220491
01sep1970,81.105324,38.789501,6.3473725,17.984222,17.984222
01oct1970,77.159973,28.977106,11.456066,12.803838,23.92296
01nov1970,68.20919,21.87842,9.9739866,11.904434,24.452353
01dec1970,82.797058,24.048937,19.926262,15.803587,23.018269
01jan1971,65.398315,19.132486,9.0444479,12.175219,25.046164
01feb1971,49.867214,9.5166445,9.1359787,11.039307,20.175285
01mar1971,56.959503,10.637015,9.607626,16.127087,20.58777
01apr1971,50.023922,8.9698067,11.039762,10.694769,19.319584
01may1971,45.761528,5.7625628,11.8641,10.508203,17.626663
01jun1971,56.436195,5.3578668,14.644835,13.573262,22.860231
01jul1971,63.439224,11.962826,16.312943,14.137885,21.025572
01aug1971,44.077442,9.4711857,9.8354616,7.2855272,17.485266
01sep1971,47.761581,8.9107428,9.980032,9.2671728,19.603636
01oct1971,50.062786,10.402657,10.727739,8.7772417,20.155148
01nov1971,58.522587,16.144161,10.762774,11.099112,20.516539
01dec1971,64.516922,12.835828,20.604881,8.4446239,22.631592
01jan1972,51.995644,10.604374,10.604374,7.8677616,22.919132
01feb1972,57.502922,14.557702,11.646162,7.278851,24.020206
01mar1972,53.919472,13.479868,17.523829,8.7619143,14.153862
01apr1972,57.204021,19.408506,17.706005,6.4695024,13.620005
01may1972,53.21669,16.136673,10.300004,11.673338,15.106673
01jun1972,70.02021,20.204838,20.901556,14.28273,14.631089
01jul1972,56.101898,11.717485,22.014669,3.9058285,18.463917
01aug1972,73.555283,21.698809,21.331032,10.665516,19.859926
01sep1972,66.349159,16.499527,25.275869,8.7763443,15.797419
01oct1972,72.06591,22.343578,16.049612,15.734914,17.937801
01nov1972,65.333374,17.70116,14.160928,14.482768,18.988518
01dec1972,81.174088,30.644033,21.516024,10.432012,18.582022
01jan1973,165.59874,87.226265,28.528891,23.610117,26.233463
01feb1973,103.78509,58.847214,17.47584,13.552691,13.909342
01mar1973,133.07791,54.628639,29.219971,24.138235,25.091061
01apr1973,173.90431,90.635216,33.30764,25.621262,24.340199
01may1973,201.98796,124.73864,31.026363,26.594025,19.628923
01jun1973,246.88695,150.0751,51.923306,22.10928,22.779257
01jul1973,284.69464,136.18649,85.278687,29.831327,33.398117
01aug1973,293.2597,83.499893,125.92323,43.433411,40.403175
01sep1973,285.99881,136.96204,74.173401,44.159046,30.704336
01oct1973,290.14032,156.03886,43.521046,56.966572,33.613815
01nov1973,758.14478,563.48596,43.712852,100.40296,50.542988
01dec1973,1036.2821,782.35632,56.156651,128.70685,69.062218
01jan1974,877.22565,641.185,67.289192,108.50823,60.243206
01feb1974,852.31976,604.06018,70.549965,107.54102,70.16861
01mar1974,480.52472,347.99969,38.234604,66.424522,27.865898
01apr1974,330.5087,201.41997,47.067204,57.795761,24.225767
01may1974,255.49817,137.6994,44.29491,50.07251,23.431366
01jun1974,187.76392,89.702286,31.829844,43.082817,23.148975
01jul1974,186.07411,95.899734,29.700289,36.499149,23.974934
01aug1974,192.95163,77.180656,45.255928,43.501823,27.013229
01sep1974,215.87343,91.432632,52.813072,43.900867,27.726864
01oct1974,233.51463,115.80549,55.523182,35.534832,26.651127
01nov1974,217.8152,104.87398,52.598339,31.623541,28.719337
01dec1974,189.87589,113.59531,31.040581,26.747734,18.492262
01jan1975,255.37367,165.26225,41.402542,23.310677,25.398199
01feb1975,173.06522,103.5401,23.54883,26.165369,19.810921
01mar1975,126.13874,60.745762,24.895803,20.248587,20.248587
01apr1975,114.84901,54.366394,23.785299,20.727188,15.970129
01may1975,97.878799,46.041676,18.352274,15.776517,17.708336
01jun1975,112.999,51.918457,21.378189,23.753544,15.948807
01jul1975,116.83635,61.751343,19.648155,21.051594,14.385256
01aug1975,118.6488,50.210796,29.576221,20.978483,17.883297
01sep1975,105.88419,44.9412,27.91802,19.406429,13.618546
01oct1975,104.17683,56.726421,20.335886,12.843718,14.270798
01nov1975,79.550751,38.914436,14.808148,11.020018,14.808148
01dec1975,95.004684,44.601437,15.592372,18.493279,16.317598
01jan1976,78.787094,36.199474,17.389944,11.356698,13.840977
01feb1976,73.586952,34.482773,17.419134,9.5982981,12.086745
01mar1976,68.577393,25.265356,14.109224,16.077953,13.124861
01apr1976,74.502815,23.959055,13.456455,17.39493,19.692375
01may1976,72.837036,24.598473,20.445484,14.695191,13.097888
01jun1976,84.656212,34.001263,22.898809,13.184163,14.57197
01jul1976,102.19887,33.71143,33.001717,18.80743,16.678288
01aug1976,91.541138,23.758768,31.096035,18.16847,18.517864
01sep1976,70.168945,22.35775,20.98189,12.72672,14.102581
01oct1976,67.857483,22.619162,15.291827,14.336089,15.610408
01nov1976,76.640144,24.20215,14.790202,16.807049,20.84074
01dec1976,76.488144,25.169176,19.939217,11.767407,19.612345
01jan1977,215.39804,137.37985,26.458342,24.083876,27.475971
01feb1977,402.68155,241.16844,87.730988,33.403847,40.378277
01mar1977,155.94209,78.781555,47.657978,12.319749,17.182808
01apr1977,161.03563,94.687622,34.340931,16.00354,16.00354
01may1977,128.6465,58.219582,38.813057,15.024409,16.589451
01jun1977,108.31945,43.12719,39.449677,11.366857,14.37573
01jul1977,129.50847,54.046841,43.849323,14.956359,16.655945
01aug1977,132.07942,49.572227,38.028011,20.711683,23.767506
01sep1977,88.319923,37.709633,20.177961,13.562236,16.870098
01oct1977,90.63343,49.574661,13.686256,14.294535,13.077979
01nov1977,87.956436,31.502129,18.714136,18.402233,19.33794
01dec1977,91.537598,33.758549,28.564924,14.931665,14.282462
01jan1978,109.12614,40.067204,28.340219,16.287483,24.431223
01feb1978,150.65396,66.688568,24.533098,23.842026,35.590271
01mar1978,105.55635,52.178425,14.9938,12.294916,26.089212
01apr1978,76.725098,27.338829,15.874159,12.9345,20.577614
01may1978,72.466141,22.645668,16.606823,14.493228,18.720419
01jun1978,67.993393,25.873592,16.847919,13.237652,12.034229
01jul1978,75.839035,21.049202,15.786901,19.191917,19.811012
01aug1978,83.995445,22.277052,20.451065,18.259878,23.007448
01sep1978,74.949242,27.043539,13.52177,18.544142,15.839787
01oct1978,78.184105,20.442633,18.290777,19.366707,20.08399
01nov1978,85.145676,36.140972,19.601883,11.638618,17.764208
01dec1978,121.26782,65.298058,11.434683,16.851112,27.683969
01jan1979,133.84897,59.418934,19.389338,21.891186,33.149513
01feb1979,178.07719,116.72844,16.580744,19.233664,25.534346
01mar1979,228.9782,149.37135,22.579393,30.974295,26.053144
01apr1979,187.15845,107.11401,13.389251,35.51062,31.144562
01may1979,552.52808,441.56009,23.407309,49.126453,38.434223
01jun1979,491.40784,365.80267,40.479385,42.562881,42.562881
01jul1979,480.9856,377.31451,30.13694,31.342419,42.191719
01aug1979,284.82614,210.09755,18.988409,28.17635,27.56382
01sep1979,190.84723,132.68704,15.78216,19.58157,22.796453
01oct1979,176.76085,107.29892,20.047956,24.001074,25.412901
01nov1979,170.02638,111.3966,16.751368,26.802189,15.076231
01dec1979,188.60086,118.68604,21.425508,23.680824,24.808483
01jan1980,169.37541,91.879555,24.951317,23.190046,29.35449
01feb1980,150.6651,89.283028,17.621649,19.971201,23.789227
01mar1980,103.96277,55.958855,12.069557,16.458487,19.475874
01apr1980,104.12222,49.734356,18.614027,15.123898,20.649937
01may1980,105.20173,44.766693,20.704597,19.025845,20.704597
01jun1980,131.82724,56.246284,29.001991,17.284016,29.294941
01jul1980,126.67164,50.60656,29.494621,22.974758,23.595697
01aug1980,108.48785,37.669392,30.436867,17.177242,23.204344
01sep1980,137.28508,36.485676,38.650078,29.99246,32.156864
01oct1980,151.08498,56.692299,38.834225,28.062687,27.495764
01nov1980,115.61375,31.318153,43.611259,18.439661,22.244671
01dec1980,120.58159,38.573959,41.307545,17.008989,23.691093
01jan1981,135.99533,57.798016,41.107677,16.072176,21.01746
01feb1981,130.89478,36.730675,45.412472,18.699251,30.05237
01mar1981,96.181656,23.176304,35.343864,16.513115,21.148375
01apr1981,96.673309,19.395273,42.124104,12.425096,22.728834
01may1981,79.200905,19.20022,27.600315,12.000137,20.400232
01jun1981,65.430611,20.694332,20.085676,10.042838,14.607764
01jul1981,98.883827,24.248581,37.475079,11.651916,25.508249
01aug1981,146.39906,17.379366,70.401161,15.611973,43.006569
01sep1981,82.195206,20.917059,27.987616,13.551898,19.738634
01oct1981,129.03188,23.361561,51.341103,15.483825,38.845383
01nov1981,95.482796,17.030558,33.502735,14.797041,30.152462
01dec1981,99.154381,22.034307,38.983772,16.949467,21.186832
01jan1982,95.117279,17.592224,33.395409,22.362997,21.766649
01feb1982,58.364086,10.784668,22.520926,13.639433,11.419061
01mar1982,61.578114,16.077044,18.807108,8.4935322,18.200428
01apr1982,55.326626,12.294806,15.22214,13.758473,14.051207
01may1982,48.530216,9.5931826,16.082689,8.4645729,14.389773
01jun1982,52.040886,8.6734819,21.534161,10.467995,11.365251
01jul1982,57.755917,14.746192,23.040924,9.8307943,10.138007
01aug1982,61.280991,11.171014,19.469481,12.766872,17.873623
01sep1982,59.527241,12.5805,15.035231,12.273658,19.637852
01oct1982,53.462959,15.147839,20.197119,8.0194445,10.098559
01nov1982,59.270809,13.305693,17.236919,13.305693,15.422506
01dec1982,46.132309,13.056314,9.8647709,8.123929,15.087296
01jan1983,55.106232,15.559407,16.207716,8.4280119,14.911098
01feb1983,48.429363,10.528122,12.633746,11.229997,14.037497
01mar1983,41.806755,11.628369,9.9671736,8.5828438,11.628369
01apr1983,45.593876,14.075962,9.7919741,10.097973,11.627969
01may1983,44.513794,15.199832,10.042747,8.142767,11.128448
01jun1983,48.915112,15.825477,11.509438,10.070758,11.509438
01jul1983,51.350655,8.8437233,17.402166,12.2671,12.837664
01aug1983,67.211288,13.167926,25.238525,14.539584,14.265253
01sep1983,47.215401,10.403393,10.936901,16.271975,9.6031332
01oct1983,58.379189,18.002392,13.373206,14.401914,12.601675
01nov1983,51.455063,12.299015,13.052015,15.311019,10.793013
01dec1983,53.664413,13.674106,15.996122,12.126093,11.868092
01jan1984,49.009327,10.712421,14.99739,12.587095,10.712421
01feb1984,45.290161,10.430462,10.979433,13.998777,9.8814898
01mar1984,42.577545,10.268703,8.7659655,15.778738,7.7641406
01apr1984,38.32122,11.651723,5.4374709,10.616014,10.616014
01may1984,48.803146,14.012784,11.113587,14.254384,9.42239
01jun1984,46.19437,11.61035,9.63412,12.598465,12.351436
01jul1984,58.492565,11.698513,15.25893,15.767561,15.767561
01aug1984,45.140121,8.2801399,13.355065,13.355065,10.14985
01sep1984,51.375698,8.8684244,11.314886,13.455541,17.736849
01oct1984,58.783314,7.491991,16.424749,16.136597,18.729979
01nov1984,57.733727,9.2486067,12.891997,16.815649,18.777473
01dec1984,56.373268,12.367604,17.257122,13.230461,13.51808
01jan1985,54.776489,9.9906807,15.50278,13.091236,16.191792
01feb1985,50.550995,11.982458,12.731361,13.854716,11.982458
01mar1985,43.63839,8.4044304,13.576387,11.313657,10.343914
01apr1985,55.428589,12.38992,18.258829,12.063869,12.71597
01may1985,58.280174,10.735822,20.244694,12.576248,14.723413
01jun1985,54.417755,16.325327,20.806787,7.362402,9.9232378
01jul1985,51.348846,10.755502,17.000631,10.061598,13.531115
01aug1985,48.175743,7.8584542,15.716908,9.5668135,15.033565
01sep1985,55.134361,12.972791,18.486227,7.7836747,15.891668
01oct1985,45.778187,12.429838,11.823505,7.8823366,13.642507
01nov1985,49.120388,9.8878698,14.991287,11.163724,13.077505
01dec1985,45.428757,9.0857506,15.038485,8.7724495,12.53207
01jan1986,48.528118,9.9544859,16.798195,9.0212526,12.754186
01feb1986,41.370312,8.4775229,11.190331,8.4775229,13.224936
01mar1986,45.907417,8.2086105,12.76895,9.7287235,15.201131
01apr1986,41.675301,8.1470509,12.533925,5.9536138,15.040709
01may1986,46.019875,10.596682,14.835354,10.29392,10.29392
01jun1986,42.208328,7.5037026,12.506171,6.8783941,15.32006
01jul1986,43.334164,5.135901,14.444721,11.234783,12.518758
01aug1986,59.572388,11.347121,21.748652,10.401528,16.075089
