date,finance,energy,telecom,transport,trade,health,housing,agriculture,finance_regulation,energy_regulation,telecom_regulation,transport_regulation,trade_regulation,health_regulation,housing_regulation,agriculture_regulation
1960-02-13,0.0,0.0,0.0,396.82,0.0,0.0,0.0,0.0,91.52,0.0,0.0,183.05,0.0,0.0,441.17,0.0
1960-02-14,91.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.28,104.71,0.0,164.65,76.95,0.0,0.0,0.0
1960-02-15,403.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,380.83,184.94,0.0,0.0,0.0,0.0,0.0,0.0
1960-02-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.62,246.6,0.0,0.0,0.0
1960-02-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187.57,0.0,0.0,0.0,0.0,0.0,0.0
1960-02-18,409.24,0.0,0.0,0.0,730.52,0.0,0.0,0.0,105.34,140.68,0.0,210.69,402.05,0.0,0.0,0.0
1960-02-19,0.0,0.0,339.54,691.02,0.0,0.0,0.0,1776.49,0.0,0.0,0.0,371.89,231.72,0.0,0.0,0.0
1960-02-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.03,0.0,0.0,0.0,0.0
1960-02-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.85,71.38,129.73,58.14,0.0,141.25
1960-02-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-02-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.51,0.0,0.0,0.0,0.0
1960-02-24,241.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.63,0.0,0.0,0.0
1960-02-25,287.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.6,0.0,0.0,0.0,0.0,0.0,0.0,292.68
1960-02-26,219.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197.88,0.0,0.0,339.24,0.0,0.0,0.0,0.0
1960-02-27,403.49,0.0,0.0,0.0,0.0,0.0,0.0,1157.72,138.48,0.0,0.0,0.0,0.0,225.6,0.0,0.0
1960-02-28,100.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.82,0.0,78.05,120.5,0.0,0.0,174.25,102.19
1960-02-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-01,0.0,0.0,0.0,492.78,0.0,0.0,0.0,0.0,0.0,0.0,229.04,0.0,0.0,164.57,0.0,0.0
1960-03-02,0.0,0.0,0.0,378.11,0.0,0.0,0.0,0.0,116.27,0.0,0.0,174.42,190.19,0.0,0.0,0.0
1960-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,266.12,0.0,256.0,0.0,0.0,0.0
1960-03-04,0.0,0.0,0.0,371.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.19,435.55,185.91,247.54,0.0
