date,usa,canada,uk,western_europe,eastern_europe,japan,china,asia,australia,latin_america,middle_east,russia,africa
1960-02-23,53.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-02-24,47.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-02-25,112.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,737.85,0.0,0.0,0.0
1960-02-26,42.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-02-27,131.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-02-28,19.62,0.0,0.0,125.27,0.0,0.0,0.0,0.0,0.0,0.0,907.14,0.0,0.0
1960-02-29,0.0,0.0,0.0,435.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-01,57.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-02,44.18,1556.6,0.0,423.08,0.0,0.0,0.0,0.0,0.0,870.1,0.0,0.0,0.0
1960-03-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-04,43.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-06,27.02,0.0,570.3,172.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-08,188.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-09,76.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-10,57.11,0.0,1205.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
