Date,GPR_AI,GPR_AER,GPR_OIL,GPR_NONOIL,GPR_OIL_MiddleEast,GPR_OIL_Russia,GPR_OIL_USA,GPR_OIL_Venezuela,GPR_OIL_Africa,GPR_OIL_Americas,GPR_OIL_Asia,GPR_OIL_NorthSea,THREATS_GPR_AI,ACTS_GPR_AI
1960-02-18,117.19,113.14,0.00,124.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,156.58,51.45
1960-02-19,160.96,208.92,63.97,167.30,63.97,63.97,63.97,0.00,0.00,63.97,0.00,0.00,211.59,74.65
1960-02-20,107.80,23.96,0.00,114.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,132.45,67.43
1960-02-21,51.71,51.86,0.00,55.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,68.36,29.48
1960-02-22,141.78,55.48,216.60,136.89,0.00,0.00,144.40,0.00,0.00,216.60,0.00,0.00,186.01,54.52
1960-02-23,151.43,43.98,0.00,161.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,220.53,47.15
1960-02-24,102.31,94.73,70.45,104.40,0.00,0.00,0.00,0.00,70.45,0.00,0.00,0.00,147.16,38.69
1960-02-25,126.32,52.72,0.00,134.58,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,184.42,35.80
1960-02-26,127.98,125.20,0.00,136.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,165.63,46.97
1960-02-27,133.66,191.01,142.04,133.11,71.02,0.00,0.00,0.00,0.00,0.00,71.02,0.00,168.14,63.38
1960-02-28,62.79,72.11,0.00,66.89,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,96.87,14.40
1960-02-29,111.41,135.88,0.00,118.70,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160.07,41.27
1960-03-01,135.18,104.82,0.00,144.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,213.19,35.38
1960-03-02,115.72,55.02,0.00,123.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,132.13,66.36
1960-03-03,86.70,96.42,0.00,92.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,132.03,22.97
1960-03-04,85.43,93.60,0.00,91.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126.01,23.89
1960-03-05,129.31,26.12,67.97,133.32,0.00,0.00,0.00,0.00,67.97,0.00,0.00,0.00,168.02,74.65
1960-03-06,57.22,54.65,0.00,60.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,80.06,27.66
1960-03-07,91.80,136.13,0.00,97.81,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126.10,35.13
1960-03-08,138.35,63.07,65.66,143.10,65.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,178.31,63.10
1960-03-09,127.49,85.09,0.00,135.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,161.92,65.15
1960-03-10,79.58,100.99,52.57,81.34,52.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.66,32.48
1960-03-11,98.80,35.69,0.00,105.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,131.51,46.76
1960-03-12,120.91,51.03,0.00,128.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,147.98,66.10
1960-03-13,57.90,53.48,0.00,61.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,86.43,18.31
1960-03-14,158.01,62.48,0.00,168.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,229.30,47.44
1960-03-15,153.92,167.78,0.00,163.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,212.85,53.03
1960-03-16,99.24,86.99,0.00,105.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,141.88,39.96
1960-03-17,71.61,79.12,0.00,76.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,102.16,24.74
1960-03-18,115.51,100.91,131.32,114.48,0.00,65.66,65.66,0.00,0.00,65.66,0.00,0.00,146.31,58.59
1960-03-19,136.69,50.84,0.00,145.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,177.36,70.39
1960-03-20,65.21,92.09,0.00,69.47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.13,21.39
1960-03-21,130.22,97.84,0.00,138.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,209.82,23.31
1960-03-22,121.41,64.78,0.00,129.34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,124.45,85.65
1960-03-23,127.12,95.51,0.00,135.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,123.32,98.11
1960-03-24,113.01,59.51,0.00,120.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,133.03,67.34
1960-03-25,133.31,167.78,67.18,137.63,0.00,0.00,0.00,0.00,0.00,67.18,0.00,0.00,175.43,50.73
1960-03-26,161.79,101.29,0.00,172.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,195.05,85.96
1960-03-27,68.89,79.70,0.00,73.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,94.31,33.50
1960-03-28,155.11,107.34,0.00,165.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,186.19,87.66
1960-03-29,105.62,122.30,0.00,112.53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,145.29,38.84
1960-03-30,121.51,138.32,0.00,129.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,165.03,61.78
1960-03-31,124.89,175.93,0.00,133.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,159.42,59.37
1960-04-01,118.21,209.69,0.00,125.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,134.13,74.93
1960-04-02,126.50,116.47,0.00,134.77,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,154.09,81.15
1960-04-03,66.31,77.84,0.00,70.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87.78,33.99
1960-04-04,107.40,57.63,0.00,114.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,154.06,51.48
1960-04-05,125.70,136.69,0.00,133.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,162.15,62.16
1960-04-06,115.19,121.55,0.00,122.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,152.00,62.98
1960-04-07,96.35,95.81,0.00,102.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,123.48,43.75
1960-04-08,101.16,58.64,0.00,107.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119.04,75.44
1960-04-09,115.65,73.81,0.00,123.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,141.42,65.94
1960-04-10,70.92,62.06,21.53,74.15,0.00,0.00,0.00,0.00,0.00,0.00,21.53,0.00,81.72,47.30
1960-04-11,138.60,118.33,0.00,147.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,176.92,68.71
1960-04-12,133.97,160.35,0.00,142.73,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,145.30,103.58
