Date,GPR_AI,GPR_AER,GPR_OIL,GPR_NONOIL
1960-05-17,230.84,169.56,0.0,245.94
1960-05-18,244.36,145.91,0.0,260.33
1960-05-19,206.81,204.45,53.21,216.86
1960-05-20,170.9,188.17,0.0,182.07
1960-05-21,222.46,88.63,65.91,232.7
1960-05-22,90.15,82.91,0.0,96.04
1960-05-23,162.49,130.8,0.0,173.12
1960-05-24,159.7,177.94,0.0,170.14
1960-05-25,161.15,184.25,0.0,171.69
1960-05-26,122.81,87.97,0.0,130.84
1960-05-27,175.79,122.79,71.02,182.64
1960-05-28,188.18,191.8,71.31,195.82
1960-05-29,74.79,71.78,0.0,79.68
1960-05-30,115.77,194.72,0.0,123.34
1960-05-31,160.1,102.18,0.0,170.56
1960-06-01,135.26,160.45,0.0,144.1
1960-06-02,97.38,42.05,0.0,103.75
1960-06-03,142.92,139.28,0.0,152.26
1960-06-04,155.18,69.4,180.62,153.52
1960-06-05,74.81,48.0,22.72,78.22
1960-06-06,148.03,46.86,0.0,157.71
1960-06-07,125.1,27.97,0.0,133.28
1960-06-08,126.47,122.44,0.0,134.74
1960-06-09,112.22,127.75,55.41,115.94
1960-06-10,125.71,106.12,0.0,133.93
1960-06-11,135.15,87.97,65.41,139.71
1960-06-12,83.37,98.45,0.0,88.82
1960-06-13,207.94,123.15,0.0,221.54
1960-06-14,105.97,127.59,0.0,112.89
1960-06-15,150.48,163.06,141.46,151.07
1960-06-16,194.04,162.49,0.0,206.72
1960-06-17,205.94,143.26,0.0,219.4
1960-06-18,215.6,95.85,62.37,225.62
1960-06-19,78.99,54.28,23.55,82.62
1960-06-20,147.12,44.57,0.0,156.74
1960-06-21,165.49,86.34,0.0,176.31
1960-06-22,139.64,154.28,0.0,148.77
1960-06-23,99.33,144.37,0.0,105.83
1960-06-24,136.8,187.09,0.0,145.74
1960-06-25,138.0,117.29,122.11,139.04
1960-06-26,82.96,54.35,47.15,85.3
1960-06-27,176.21,115.84,86.14,182.1
1960-06-28,177.27,170.41,0.0,188.86
1960-06-29,199.85,137.0,0.0,212.92
1960-06-30,139.43,85.17,277.07,130.43
1960-07-01,107.04,12.11,63.04,109.92
1960-07-02,94.53,109.6,285.25,82.06
1960-07-03,74.03,66.66,49.57,75.63
1960-07-04,144.82,32.77,170.59,143.13
1960-07-05,211.95,117.58,87.44,220.09
1960-07-06,130.51,37.14,257.78,122.19
1960-07-07,96.02,38.87,0.0,102.3
1960-07-08,164.81,143.07,0.0,175.59
1960-07-09,110.68,116.41,173.14,106.59
1960-07-10,76.49,60.19,90.52,75.57
1960-07-11,214.29,119.38,0.0,228.3
1960-07-12,197.59,78.96,68.5,206.03
1960-07-13,286.77,94.73,375.71,280.95
1960-07-14,139.25,198.36,0.0,148.35
1960-07-15,183.97,137.72,65.17,191.74
1960-07-16,121.28,214.6,0.0,129.21
1960-07-17,104.14,41.4,80.81,105.66
1960-07-18,210.93,159.18,214.82,210.67
1960-07-19,269.8,198.43,158.91,277.05
1960-07-20,236.8,179.57,71.9,247.58
1960-07-21,245.97,190.24,212.2,248.18
1960-07-22,216.36,183.52,68.24,226.04
1960-07-23,212.03,130.58,135.94,217.01
1960-07-24,85.11,39.74,68.96,86.16
1960-07-25,155.72,128.57,167.31,154.97
1960-07-26,202.14,82.54,0.0,215.35
1960-07-27,194.01,100.43,0.0,206.69
1960-07-28,99.93,15.51,0.0,106.46
1960-07-29,159.42,103.25,0.0,169.84
1960-07-30,120.62,46.43,0.0,128.51
1960-07-31,71.01,50.33,0.0,75.65
1960-08-01,186.63,126.48,188.11,186.53
1960-08-02,199.67,108.71,70.73,208.1
1960-08-03,172.67,113.8,148.09,174.28
1960-08-04,114.85,84.14,0.0,122.35
1960-08-05,183.27,170.69,74.04,190.41
1960-08-06,134.27,135.4,264.31,125.76
1960-08-07,96.19,91.86,53.13,99.0
1960-08-08,247.78,203.15,288.4,245.13
1960-08-09,221.73,164.4,142.62,226.9
1960-08-10,250.04,165.76,71.9,261.69
1960-08-11,172.99,81.82,0.0,184.3
1960-08-12,159.84,75.68,0.0,170.29
1960-08-13,125.24,229.92,138.1,124.4
1960-08-14,95.53,48.24,0.0,101.78
1960-08-15,149.06,101.81,88.33,153.03
1960-08-16,157.38,124.32,71.9,162.97
1960-08-17,202.37,107.83,0.0,215.6
1960-08-18,140.5,191.93,0.0,149.69
1960-08-19,175.14,225.5,0.0,186.6
1960-08-20,115.97,108.91,0.0,123.55
1960-08-21,88.29,52.15,81.44,88.74
1960-08-22,253.97,180.69,0.0,270.57
1960-08-23,199.14,73.63,306.61,192.11
1960-08-24,183.14,124.83,0.0,195.11
1960-08-25,112.92,107.58,240.0,104.61
1960-08-26,189.14,111.89,0.0,201.51
1960-08-27,120.2,148.76,0.0,128.06
1960-08-28,86.7,96.42,55.77,88.73
1960-08-29,201.36,57.3,0.0,214.53
1960-08-30,226.02,66.85,87.0,235.11
1960-08-31,198.19,113.96,197.73,198.22
1960-09-01,113.25,135.06,322.22,99.59
1960-09-02,185.09,97.24,63.27,193.05
1960-09-03,127.87,80.66,93.3,130.13
1960-09-04,111.38,77.48,28.81,116.78
1960-09-05,97.82,59.54,0.0,104.21
1960-09-06,248.83,232.13,161.11,254.56
1960-09-07,165.05,121.31,70.16,171.26
1960-09-08,111.38,128.86,0.0,118.66
1960-09-09,183.22,148.02,0.0,195.2
1960-09-10,117.17,100.03,0.0,124.83
1960-09-11,82.94,78.82,96.53,82.05
1960-09-12,162.57,64.28,0.0,173.2
1960-09-13,179.48,99.15,0.0,191.21
1960-09-14,133.97,61.67,64.21,138.53
1960-09-15,125.13,42.62,31.69,131.24
1960-09-16,202.86,81.82,182.52,204.19
1960-09-17,175.72,179.83,0.0,187.21
1960-09-18,90.98,54.18,43.39,94.09
1960-09-19,237.81,131.37,75.98,248.39
1960-09-20,111.61,63.74,36.86,116.49
1960-09-21,194.15,63.31,131.82,198.22
1960-09-22,130.42,74.43,0.0,138.94
1960-09-23,212.38,178.28,58.0,222.47
1960-09-24,174.51,259.63,126.7,177.64
1960-09-25,98.01,74.87,22.93,102.92
1960-09-26,164.98,114.77,0.0,175.77
1960-09-27,241.48,222.85,0.0,257.27
1960-09-28,186.31,195.86,0.0,198.49
1960-09-29,114.31,101.91,106.1,114.84
1960-09-30,201.74,144.81,0.0,214.93
1960-10-01,179.26,84.78,126.09,182.74
1960-10-02,75.96,36.58,0.0,80.93
