Date,GPR_AI,GPR_AER,GPR_OIL,GPR_NONOIL
1960-01-01,116.35,83.01,,
1960-02-01,129.76,115.2,,
1960-03-01,112.5,90.54,,
1960-04-01,120.21,111.91,,
1960-05-01,153.26,127.65,,
1960-06-01,140.76,108.1,,
1960-07-01,159.29,104.12,,
1960-08-01,166.46,122.4,,
1960-09-01,156.08,115.62,,
1960-10-01,155.37,125.26,,
1960-11-01,133.09,114.56,,
1960-12-01,141.75,111.86,,
1961-01-01,140.79,112.99,,
1961-02-01,141.19,102.01,,
1961-03-01,147.89,118.04,,
1961-04-01,193.68,173.82,,
1961-05-01,167.2,137.59,,
1961-06-01,164.5,131.37,,
1961-07-01,199.85,181.31,,
1961-08-01,218.98,216.76,,
1961-09-01,224.58,234.59,,
1961-10-01,191.88,166.74,,
1961-11-01,187.59,165.05,,
1961-12-01,197.93,181.29,,
1962-01-01,148.04,136.09,,
1962-02-01,151.53,141.52,,
1962-03-01,152.66,156.55,,
1962-04-01,145.71,146.38,,
1962-05-01,150.51,138.41,,
1962-06-01,133.79,120.92,,
1962-07-01,134.1,115.95,,
1962-08-01,134.9,98.97,,
1962-09-01,160.02,137.06,,
1962-10-01,245.7,295.33,,
1962-11-01,190.24,217.41,,
1962-12-01,176.45,184.05,,
1963-01-01,167.09,150.87,,
1963-02-01,178.58,188.22,,
1963-03-01,157.65,144.17,,
1963-04-01,142.06,142.55,,
1963-05-01,134.02,127.98,,
1963-06-01,123.63,108.63,,
1963-07-01,146.33,149.99,,
1963-08-01,147.65,161.82,,
1963-09-01,149.26,126.05,,
1963-10-01,136.06,132.8,,
1963-11-01,125.88,124.15,,
1963-12-01,110.09,92.55,,
1964-01-01,140.23,89.53,,
1964-02-01,152.74,102.21,,
1964-03-01,133.47,95.83,,
1964-04-01,126.81,95.0,,
1964-05-01,150.98,98.16,,
1964-06-01,145.47,126.83,,
1964-07-01,157.08,152.05,,
1964-08-01,174.69,160.77,,
1964-09-01,141.54,118.48,,
