Date,GPR_AI,USA|Iraq,USA|Vietnam,Israel|Palestine,USA|Russia,Russia|USA,Russia|Ukraine,USA|Afghanistan,USA|Iran,Serbia|Bosnia,Israel|Lebanon,Palestine|Israel,Vietnam|USA,USA|North Korea,USA|China,Iraq|USA,Iran|USA,USA|Cuba,China|USA,USA|Syria,North Korea|USA,USA|Pakistan,USA|Israel,USA|Nicaragua,USA|Bosnia,India|Pakistan,Egypt|Israel,UK|Ireland,Iraq|Iran,North Korea|South Korea,Israel|Egypt,Iraq|Kuwait,USA|Serbia,Israel|USA,Pakistan|India,USA|Libya,Israel|Syria,Vietnam|Cambodia,Syria|Lebanon,USA|Haiti,Russia|Afghanistan,USA|Somalia,Iran|Iraq,Israel|Iran,Syria|Israel,China|Taiwan,France|Algeria,USA|Cambodia,Cuba|USA,Ireland|UK,UK|Iraq,Serbia|USA,USA|El Salvador,Israel|Jordan,Syria|USA,Serbia|Croatia,USA|Palestine,USA|Laos,USA|Lebanon,Croatia|Bosnia,Croatia|Serbia,Russia|Czechia,Vietnam|Laos,China|India,Lebanon|USA,Russia|Poland,Turkey|Cyprus,Lebanon|Israel,Bosnia|USA,Afghanistan|USA,Russia|Germany,China|Vietnam,USA|Venezuela,USA|Germany,USA|Saudi Arabia,Russia|Georgia,Ukraine|Russia,Libya|USA,USA|Ukraine,Saudi Arabia|USA,USA|Sudan,Palestine|Lebanon,China|Russia,USA|Yemen,Iran|Israel,Russia|UK,Pakistan|USA,Russia|Syria,Palestine|USA,Russia|China,UK|Argentina,Argentina|UK,USA|Panama,Saudi Arabia|Yemen,USA|UK,Russia|Lithuania,Turkey|Greece,USA|Egypt,Iraq|Israel,Bosnia|Serbia,Turkey|Iraq,Algeria|France,South Africa|Angola,Pakistan|Afghanistan,Ethiopia|Somalia,Rwanda|DRC,Jordan|Israel,USA|Turkey,Egypt|USA,UK|USA,UK|Zimbabwe,USA|India,USA|Dominican Republic,Germany|USA,USA|Japan,UK|Russia,Israel|Iraq,Indonesia|Malaysia,Sudan|USA,Russia|Israel,France|USA
1960-11-01,133.09,0.0,1.3099,0.0,7.423,3.7552,0.0,0.0,0.0,0.0,0.0,0.0,0.786,0.0,0.524,0.0,0.0,14.2347,0.786,0.0,0.0,0.0,0.0,3.9298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.524,6.8117,0.0,4.2791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8819,0.0,0.0,0.0,0.0,0.524,0.786,0.0,0.0,0.0,0.0,0.0,0.0,0.786,0.0,0.0,0.262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262,0.0,0.0,0.524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1439,0.0,0.0,0.0,0.0,0.0,0.0,0.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.262,0.0,0.0,0.262,0.0,0.0,0.0,0.0,0.262
1960-12-01,141.75,0.0,0.0,0.0,4.8,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,4.725,1.8,0.0,0.0,0.0,0.675,0.0,0.0,0.0,0.3,0.225,0.0,0.0,0.0,0.0,0.0,1.575,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,18.15,0.0,1.575,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.675,0.0,0.0,0.0,0.0,4.05,0.225,0.0,0.0,0.0,0.0,0.0,0.0,0.225,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.45,0.0,0.0,0.0,0.0,0.0,0.0,2.475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45,0.225,0.0,0.0,0.45,0.0,0.225,0.0,0.0,0.0,0.225,1.2
1961-01-01,140.79,0.0,0.2106,0.0,6.3868,8.4221,0.0,0.0,0.0,0.0,0.0,0.0,1.9652,0.0,0.2106,0.0,0.0,16.2126,1.0528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2106,0.0,0.0,0.0,0.0,0.0,0.2807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.7905,0.0,5.2638,0.0,0.0,0.0,0.2106,0.0,0.0,0.0,0.0,15.4406,0.0,0.0,0.0,0.0,12.0015,0.4211,0.0,0.0,0.0,0.0,0.0,0.0,0.2106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4211,0.0,0.0,0.0,0.0,0.0,0.0,1.4739,0.0,0.0,1.7546,0.0,0.0,0.0,0.0,0.4211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1961-02-01,141.19,0.0,0.2968,0.0,8.6079,12.2688,0.0,0.0,0.0,0.0,0.0,0.0,0.2968,0.0,0.8905,0.0,0.0,2.9683,1.781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2968,2.3746,0.0,3.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.3429,0.0,0.0,0.0,0.0,0.5937,0.8905,0.0,0.0,0.0,0.0,0.0,0.0,0.2968,0.0,0.0,0.2968,0.0,0.0,0.0,0.0,0.0,0.0,0.2968,0.0,0.2968,0.0,0.0,1.4841,0.0,0.0,0.0,0.2968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2968,0.0,0.0,0.5937,0.0,0.0,0.0,0.0,0.0,0.2968,0.2968,0.0,0.8905,0.0,0.0,0.0,0.0,0.2968,0.0,0.0,0.0,0.0,0.2968
1961-03-01,147.89,0.0,0.5304,0.0,13.5249,13.6133,0.0,0.0,0.0,0.0,0.0,0.0,2.6519,0.0,1.5912,0.0,0.0,4.4199,0.7956,0.0,0.2652,0.0,0.2652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2652,4.5083,0.0,2.9171,0.2652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.9338,0.0,0.0,0.0,0.0,6.4531,0.2652,0.0,0.0,0.0,0.0,0.0,0.0,1.0608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2652,0.0,0.0,0.2652,0.0,0.0,0.7956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5304,0.0,0.0,0.0,0.2652,0.0,0.0,2.9171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7956,0.0,0.2652,0.0,1.8564,0.0,0.0,0.0,0.0,0.0
1961-04-01,193.68,0.0,1.5589,0.0,11.8034,10.9868,0.0,0.0,0.0,0.0,0.0,0.0,1.3362,0.2227,0.6681,0.0,0.0,59.2398,0.4454,0.0,0.6681,0.0,0.2227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1484,0.0,7.572,0.0,0.0,0.0,0.0,0.2227,0.0,0.0,0.0,12.9169,0.0,0.0,0.0,0.0,3.1921,0.2227,0.0,0.0,0.0,0.0,0.0,0.0,0.2227,0.0,0.0,0.4454,0.0,0.0,0.0,0.0,0.0,0.2227,0.0,0.0,0.0,0.0,0.0,0.6681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9388,0.0,0.2227,0.2227,0.0,0.2227,0.0,0.0,1.3362,0.0,0.2227,0.0,0.4454,0.2227,2.0044,0.0,0.0,0.0,0.2227,0.2227
1961-05-01,167.2,0.0,8.5721,0.0,17.7504,13.854,0.0,0.0,0.7793,0.0,0.0,0.0,0.8659,0.0,0.7793,0.0,0.0,15.4125,1.8183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2598,0.5195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2598,15.1528,0.0,3.8098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2479,0.0,0.0,0.0,0.0,1.9049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5195,0.2598,0.0,0.7793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5195,0.0,0.0,0.0,0.0,0.0,0.0,3.6367,0.0,2.3379,0.0,0.0,0.0,0.2598,0.0,0.0,0.0,0.0,0.0,0.5195,0.0,0.7793,0.0,0.0,0.0,0.0,0.7793
1961-06-01,164.5,0.0,3.4381,0.0,26.1825,38.1718,0.0,0.0,0.0,0.0,0.0,0.0,2.1158,0.0,2.3802,0.0,0.0,5.0249,0.7934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6171,0.0,5.9065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2645,0.0,6.0828,0.0,0.7934,0.0,0.2645,0.0,0.0,0.0,0.0,0.0,0.0,4.496,0.0,0.0,0.0,0.0,3.1736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6117,0.0,0.0,0.5289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2645,0.0,0.0,4.3197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2645,0.0,0.0,0.0,0.0,0.0,0.0,2.9092,0.0,0.2645,0.0,0.0,0.0,0.0,0.0,0.2645,0.0,0.0,3.7026,3.4381,0.0,1.5868,0.0,0.0,0.0,0.0,0.2645
1961-07-01,199.85,0.0,1.3911,0.0,35.0085,34.7767,0.0,0.0,0.0,0.0,0.0,0.0,0.9274,0.2318,2.8594,0.0,0.0,4.7142,1.1592,0.0,0.6955,0.2318,0.2318,0.0,0.0,0.2318,0.2318,0.0,0.0,0.0,0.0,13.9107,0.0,0.0,1.1592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8827,0.0,1.8548,0.0,3.4777,0.0,0.0,0.2318,0.0,0.0,0.0,0.2318,0.0,0.0,0.0,0.0,0.2318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2551,0.0,0.0,5.1006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.9553,0.0,0.0,0.0,0.541,0.0,0.0,0.0,0.0,0.6955,0.2318,0.0,0.0,0.0,0.0,0.0,1.6229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2318,0.2318,0.0,0.4637,1.932,0.0,2.0866,0.0,0.0,0.0,0.0,0.2318
1961-08-01,218.98,0.0,1.2668,0.0,32.429,43.9987,0.0,0.0,0.0,0.0,0.0,0.0,0.5067,0.2534,1.0134,0.0,0.0,6.3338,2.2802,0.0,0.0,0.2534,0.0,0.0,0.0,0.0,0.0,0.2534,0.0,0.0,0.0,0.7601,0.0,0.0,0.2534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5912,5.2359,0.0,3.0402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0268,0.0,0.0,0.0,0.0,0.5067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.8633,0.0,0.0,10.3874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2534,0.0,0.0,5.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2534,0.0,0.0,0.0,2.7869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2534,10.8941,0.0,3.2936,0.0,0.0,0.0,0.0,0.0
