Date,GPR_AI,military_conflict,diplomatic_tension,terrorism,civil_war,nuclear_threat,coup,sanctions,other
1965-03-01,152.36,69.3204,55.3658,7.7284,8.1809,3.2579,2.1719,0.543,5.7918
1965-04-01,155.92,77.2744,54.5984,6.1876,5.8712,3.4102,4.1485,0.2109,4.2188
1965-05-01,182.81,88.8508,47.274,6.5803,22.4421,8.2773,4.3291,0.2078,4.8486
1965-06-01,156.48,71.3218,45.9843,7.0262,12.7571,4.2393,8.086,0.1963,6.8692
1965-07-01,153.71,79.113,41.4303,8.2074,11.3179,4.5721,4.1224,0.3373,4.6096
1965-08-01,162.4,81.1342,49.1808,4.4009,15.4595,3.2724,1.3917,0.5266,7.0339
1965-09-01,201.89,117.7178,58.2328,2.2052,9.6432,3.7377,3.0275,1.2708,6.055
1965-10-01,156.77,57.0548,55.6955,4.4961,9.2013,5.9251,14.0807,1.1153,9.2013
1965-11-01,158.13,62.1578,55.5089,4.9392,7.1428,6.8389,7.7127,5.3191,8.5106
1965-12-01,167.51,76.6083,58.304,4.5214,4.9589,4.4485,3.0993,9.1886,6.381
1966-01-01,149.85,66.0602,51.0075,3.5029,5.2544,5.0231,8.7904,3.7343,6.4771
1966-02-01,162.65,78.564,48.7455,4.2652,5.56,7.388,8.6447,3.0847,6.3978
1966-03-01,143.65,51.2539,52.1574,3.1969,9.3126,5.4208,12.5442,2.5366,7.2277
1966-04-01,140.5,48.2336,51.3967,4.5188,15.6316,6.6275,3.4142,4.82,5.8577
1966-05-01,137.8,50.4675,51.0051,4.1052,13.6187,8.4058,2.411,0.8797,6.9071
1966-06-01,137.17,51.8816,52.3155,2.8562,14.3172,3.7601,4.9893,0.6508,6.3993
1966-07-01,161.14,81.3543,50.4939,2.7142,8.777,4.4414,5.6398,0.5287,7.1908
1966-08-01,137.46,59.6448,43.1732,6.7585,10.4517,2.6222,5.5767,0.7756,8.4574
1966-09-01,138.21,49.8439,53.1194,6.2305,9.8976,4.9132,4.3079,1.6733,8.2242
1966-10-01,144.02,54.244,57.3053,4.7812,6.9482,8.3585,3.7493,1.1351,7.4985
1966-11-01,127.71,58.9619,42.8607,4.6751,4.4309,6.28,2.6864,2.0235,5.7915
1966-12-01,143.09,66.3586,42.0654,4.6965,4.4937,5.879,3.2774,8.9875,7.3319
1967-01-01,141.37,60.2131,45.8832,5.4426,14.571,3.9958,3.7203,1.5157,6.0282
