Date,GPR_AI,GPR_AER,GPR_OIL,GPR_NONOIL,THREATS_GPR_AI,ACTS_GPR_AI,GPR_OIL_MiddleEast,GPR_OIL_Russia,GPR_OIL_USA,GPR_OIL_Venezuela,GPR_OIL_Africa,GPR_OIL_Americas,GPR_OIL_Asia,GPR_OIL_NorthSea
1960-02-18,117.19,113.14,0.0,124.85,156.58,51.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-02-19,160.96,208.92,63.97,167.3,211.59,74.65,63.97,63.97,63.97,0.0,0.0,63.97,0.0,0.0
1960-02-20,107.8,23.96,0.0,114.85,132.45,67.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-02-21,51.71,51.86,0.0,55.09,68.36,29.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-02-22,141.78,55.48,216.6,136.89,186.01,54.52,0.0,0.0,144.4,0.0,0.0,216.6,0.0,0.0
1960-02-23,151.43,43.98,0.0,161.33,220.53,47.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-02-24,102.31,94.73,70.45,104.4,147.16,38.69,0.0,0.0,0.0,0.0,70.45,0.0,0.0,0.0
1960-02-25,126.32,52.72,0.0,134.58,184.42,35.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-02-26,127.98,125.2,0.0,136.35,165.63,46.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-02-27,133.66,191.01,142.04,133.11,168.14,63.38,71.02,0.0,0.0,0.0,0.0,0.0,71.02,0.0
1960-02-28,62.79,72.11,0.0,66.89,96.87,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-02-29,111.41,135.88,0.0,118.7,160.07,41.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-01,135.18,104.82,0.0,144.02,213.19,35.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-02,115.72,55.02,0.0,123.28,132.13,66.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-03,86.7,96.42,0.0,92.37,132.03,22.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-04,85.43,93.6,0.0,91.01,126.01,23.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-05,129.31,26.12,67.97,133.32,168.02,74.65,0.0,0.0,0.0,0.0,67.97,0.0,0.0,0.0
1960-03-06,57.22,54.65,0.0,60.96,80.06,27.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-07,91.8,136.13,0.0,97.81,126.1,35.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-08,138.35,63.07,65.66,143.1,178.31,63.1,65.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-09,127.49,85.09,0.0,135.83,161.92,65.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-10,79.58,100.99,52.57,81.34,100.66,32.48,52.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-11,98.8,35.69,0.0,105.26,131.51,46.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-12,120.91,51.03,0.0,128.82,147.98,66.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-13,57.9,53.48,0.0,61.68,86.43,18.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-14,158.01,62.48,0.0,168.34,229.3,47.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-15,153.92,167.78,0.0,163.98,212.85,53.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-16,99.24,86.99,0.0,105.73,141.88,39.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-17,71.61,79.12,0.0,76.29,102.16,24.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-18,115.51,100.91,131.32,114.48,146.31,58.59,0.0,65.66,65.66,0.0,0.0,65.66,0.0,0.0
1960-03-19,136.69,50.84,0.0,145.63,177.36,70.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-20,65.21,92.09,0.0,69.47,95.13,21.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-21,130.22,97.84,0.0,138.74,209.82,23.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-22,121.41,64.78,0.0,129.34,124.45,85.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-23,127.12,95.51,0.0,135.43,123.32,98.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-24,113.01,59.51,0.0,120.4,133.03,67.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-25,133.31,167.78,67.18,137.63,175.43,50.73,0.0,0.0,0.0,0.0,0.0,67.18,0.0,0.0
1960-03-26,161.79,101.29,0.0,172.37,195.05,85.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-27,68.89,79.7,0.0,73.4,94.31,33.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-28,155.11,107.34,0.0,165.25,186.19,87.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-29,105.62,122.3,0.0,112.53,145.29,38.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-03-30,121.51,138.32,0.0,129.45,165.03,61.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
